,Year 5,Year 4,Year 3,Year 2,Year 1
EBITDA/Sale,0.10790458,0.04967766,0.12854082,0.13761428,0.09919979
EBITDA/ Assets,0.10465686,0.04172544,0.12936653,0.14221475,0.0981077
Total debt/ EBITDA,3.89882904,9.04143948,2.6756071,2.08399872,3.27534926
WC/ Asset,0.1797549,0.16398963,0.26098373,0.28311227,0.32650986
Price to book ratio,2.25699217,2.10178071,4.511936,3.00356184,2.99947039
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,0,-0.03597122,-0.02112676,-0.36036036,-0.22916667
market cap based on Jun's data,1098.3979,1088.5322,980.0021,990.9204,1562.103
90-days stock vol,0.48546,0.53512,0.51433,0.43827,0.27196
Trading volume,2737.069763,2673.951575,2162.819541,1857.46295,2424.299663
Total asset,5536.2002,5621.5,4802.6001,5109.8999,5700.2998
Diluted EPS,-1.72,0.64,2.13,-3.15,1.24
Liability / assets,0.7693183,0.73503515,0.747012,0.81095524,0.78276586
equity / assets,0.2306817,0.26496488,0.25298796,0.18904478,0.21723419
Cash / asset,0.01795455,0.02451303,0.05255487,0.02673242,0.03157729
Current ratio,1.17031159,1.51725538,1.60737813,1.55462712,1.45369665
Inventory / sales,0.21143737,0.23239092,0.19299533,0.21741825,0.1968567
Net debt/EBITDA,9.69201521,1.1343949,0.51276596,1.01184308,0.82890215
A/P / Sales,0.10454512,0.09332708,0.08015201,0.08771105,0.07835645
A/R / Sales,0.05745581,0.06860512,0.06607358,0.06659543,0.05485362
ROE,-0.14344999,0.08063108,0.23102881,-0.31966877,0.14503755
ROA,-0.03309129,0.0213644,0.05844751,-0.06043171,0.03150711
Sales/total assets,0.73879194,0.79654893,0.96431102,0.91567351,0.85390246
Net income margin,-0.04479108,0.02682121,0.06061064,-0.06599701,0.03689779
EBIT/Sale,-0.04366641,0.05013623,0.05160649,0.02919427,0.05524397
EBITDA/Sale,0.01929048,0.10518559,0.10148557,0.08662107,0.11359014
EBITDA/ Assets,0.01425165,0.08378547,0.09786366,0.07931662,0.0969949
Total debt/ EBITDA,10.95183777,1.42696391,1.04978723,1.34887737,1.15445831
WC/ Asset,0.03179076,0.09065196,0.1151876,0.10391593,0.08353948
Price to book ratio,0.86007189,0.73080371,0.80658609,1.02579762,1.26148995
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,0.40350877,-0.2244898,-0.14534884,-0.16908213,0.41780822
market cap based on Jun's data,367.12,127.908,164.5298,174.408,198.6424
90-days stock vol,0.40542,0.33253,0.56823,0.35,0.29228
Trading volume,200.19,116.59065,274.651125,388.32225,324.6613875
Total asset,453.821,423.896,230.607,169.026,157.264
Diluted EPS,-0.59,0.71,0.38,0.81,1.21
Liability / assets,0.82028818,0.7828005,0.65093861,0.61901719,0.67917642
equity / assets,0.17971182,0.2171995,0.34906139,0.38098281,0.32082358
Cash / asset,0.00696089,0.00064403,0,0,0.01250127
Current ratio,1.56462018,1.54171675,1.95495676,1.64868658,1.88473395
Inventory / sales,0.1245071,0.11737051,0.17971372,0.163373,0.14619967
Net debt/EBITDA,3.86180318,3.59584811,4.03102644,2.01228222,1.99442915
A/P / Sales,0.12420781,0.094018,0.10269301,0.09456753,0.09350448
A/R / Sales,0.14033744,0.14214682,0.14741309,0.1309502,0.15926555
ROE,-0.13150312,0.1375801,0.04088402,0.10444748,0.19140207
ROA,-0.02363267,0.02988233,0.01427103,0.03979269,0.0614063
Sales/total assets,1.30314816,1.49782258,1.1239468,1.42382829,1.5466286
Net income margin,-0.01813506,0.01995051,0.01269725,0.02794768,0.03970332
EBIT/Sale,0.04821642,0.05564314,0.049728,0.07869893,0.09442131
EBITDA/Sale,0.09915691,0.09104282,0.09761565,0.12449722,0.12693799
EBITDA/ Assets,0.12921614,0.136366,0.1097148,0.17726267,0.19632592
Total debt/ EBITDA,3.91567333,3.60057088,4.03102644,2.01228222,2.05810526
WC/ Asset,0.14329218,0.14353521,0.18580095,0.17502633,0.23725074
Price to book ratio,4.50139166,1.38924731,2.04395001,2.70836698,3.93709914
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,-0.55555556,-0.41935484,-0.38,-0.44444444,0.55172414
market cap based on Jun's data,6.7427,15.1706,26.0361,41.8719,9.2138
90-days stock vol,1.56792,1.3202,1.03567,0.68988,0.40729
Trading volume,1.29055,6.8799375,8.209575,14.2884375,22.23675
Total asset,98.367,134.507,170.264,179.189,54.966
Diluted EPS,-1.92,-0.35,-1.56,0.08,-0.06
Liability / assets,1.2972135,1.02478681,0.99267021,0.87212385,0.81868792
equity / assets,-0.2972135,-0.02478681,0.00732979,0.12787615,0.18131208
Cash / asset,0.01515752,0.01732252,0.00744139,0.01456005,0.02148601
Current ratio,0.93968673,0.23030178,0.53540263,0.30334732,0.28957704
Inventory / sales,0.00455435,0.01139649,0.0107925,0.01457678,0.01606791
Net debt/EBITDA,7.83161648,6.84747422,6.34320059,5.26627376,5.05855783
A/P / Sales,0.07448685,0.07042617,0.05493065,0.07537684,0.06636048
A/R / Sales,0.00940199,0.01029865,0.0106195,0.01698691,0.01324264
ROE,0.88596251,1.39682064,-16.80849359,0.04879113,0.02006823
ROA,-0.26332002,-0.03462273,-0.12320279,0.00623922,0.00363861
Sales/total assets,2.42635233,1.90291955,1.76537025,1.34762737,1.35871266
Net income margin,-0.10852505,-0.01819453,-0.06978864,0.00462978,0.00267799
EBIT/Sale,0.01680542,0.0222421,0.03166223,0.04900613,0.04369134
EBITDA/Sale,0.04230055,0.05189564,0.06282541,0.07799404,0.08300416
EBITDA/ Assets,0.10263605,0.09875322,0.11091012,0.1051069,0.11277881
Total debt/ EBITDA,7.97929873,7.0228864,6.41029443,5.40479983,5.24907243
WC/ Asset,-0.04137566,-0.33335068,-0.2138855,-0.18432493,-0.17112397
Price to book ratio,-0.23063005,-4.55026995,20.86225962,1.82735009,0.92452338
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,0.9858156,-0.02758621,0.38095238,0.20689655,-0.19444444
market cap based on Jun's data,646.52,249.8696,252.9888,181.4137,149.7052
90-days stock vol,0.4707,0.6949,0.46316,0.53847,0.52876
Trading volume,468.3525,192.8157375,216.53575,133.0625625,149.0832
Total asset,293.99,212.792,210.895,211.864,247.473
Diluted EPS,-0.1,0.01,0.17,-1.28,-0.7
Liability / assets,0.55848838,0.70856987,0.7192015,0.74048446,0.71143115
equity / assets,0.44151162,0.29143013,0.2807985,0.25951554,0.28856885
Cash / asset,0.14421919,0.12690327,0.09097892,0.08452592,0.02443903
Current ratio,0.61919094,0.51922605,0.407819,0.45417277,0.33625048
Inventory / sales,0.01211689,0.012553,0.01278361,0,0
Net debt/EBITDA,2.33091934,2.43253862,2.59642606,3.2045697,30.76477757
A/P / Sales,0.06963496,0.07019378,0.08028828,0.05610584,0.06887015
A/R / Sales,0.00577337,0.01034725,0.00730251,0.01961052,0.00597405
ROE,-0.01348228,0.00253169,0.04101724,-0.32075952,-0.13542352
ROA,-0.00595258,0.00073781,0.01151758,-0.08324208,-0.03907901
Sales/total assets,0.70994592,0.90334693,0.84347187,0.89872749,0.76703721
Net income margin,-0.00838456,0.00081675,0.01365497,-0.09262216,-0.050948
EBIT/Sale,0.00790065,0.02853947,0.05612646,0.04162115,-0.04549023
EBITDA/Sale,0.08666759,0.1165197,0.14376785,0.1181463,0.01728997
EBITDA/ Assets,0.0615293,0.10525772,0.12126414,0.10618132,0.01326205
Total debt/ EBITDA,4.67483001,3.63818198,3.34668022,4.00062233,32.60755637
WC/ Asset,-0.10845267,-0.1658145,-0.19708386,-0.18287675,-0.19522534
Price to book ratio,4.98089368,4.02924501,4.27208835,3.29951075,2.0963298
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,-0.51401869,-0.15748031,0.31880639,0.4248479,0.12498668
market cap based on Jun's data,123.0938,253.3091,298.4024,891.5655,628.0459
90-days stock vol,0.64575,0.80517,0.39245,0.29405,0.30477
Trading volume,171.24315,369.2870938,436.5386875,255.017134,205.7052218
Total asset,727.742,728.982,715.608,1077.059,1332.451
Diluted EPS,0.33,0.59,0.31,2.33,2.2
Liability / assets,0.4576567,0.47529706,0.49739662,0.41328655,0.5833843
equity / assets,0.5423433,0.52470294,0.50260338,0.58671345,0.4166157
Cash / asset,0.05739259,0.0871311,0.07003555,0.01568716,0.03939657
Current ratio,2.44896645,2.3870252,2.31345921,2.62821254,1.59159663
Inventory / sales,0.24327416,0.23548524,0.21265674,0.21789693,0.14333357
Net debt/EBITDA,1.18757299,0.78823885,1.16711275,3.67045122,1.13646756
A/P / Sales,0.07134648,0.07158363,0.06505975,0.05844513,0.0693656
A/R / Sales,0.01930078,0.01439258,0.01880345,0.01738905,0.01488569
ROE,0.03199505,0.05846551,0.03122055,0.12131186,0.13146167
ROA,0.0173523,0.03067703,0.01569155,0.0711753,0.05476899
Sales/total assets,2.09590075,1.97856861,2.06459682,1.34876177,2.98576383
Net income margin,0.00827916,0.01550466,0.0076003,0.05277085,0.01834338
EBIT/Sale,0.01352346,0.02699778,0.02098763,0.02606051,0.03390045
EBITDA/Sale,0.032562,0.04586294,0.03818559,0.04231993,0.04562732
EBITDA/ Assets,0.06824671,0.09074298,0.07883786,0.05707951,0.1362324
Total debt/ EBITDA,2.02853058,1.74843537,2.05546201,3.94528124,1.42565405
WC/ Asset,0.3678474,0.35930928,0.3365362,0.25610668,0.19921933
Price to book ratio,0.3118778,0.66224774,0.82966299,1.41087233,1.13136961
real GDP growth,0.04127478,0.04753238,0.04481405,0.04447221,0.03772504
Inflation,0.03376857,0.02188027,0.01552279,0.0233769,0.02931204
Unemployment,0.03991667,0.04216667,0.04508333,0.0495,0.05416667
10-year risk free,0.06029167,0.05636667,0.05264167,0.063525,0.06438334
YoY % in stock price,-0.75903614,-0.42758621,-0.36403509,0.425,-0.20792079
market cap based on Jun's data,65.671,274.4865,563.0101,845.4992,625.9397
90-days stock vol,1.2214,0.64422,0.51803,0.43262,0.51071
Trading volume,85.489375,251.5263125,527.6957813,495.5922,220.775
Total asset,1351.6,1876.275,1912.887,1873.692,1885.942
Diluted EPS,-10.12,-0.57,1.33,0.96,0.65
Liability / assets,0.9298794,0.66462859,0.63394544,0.66337797,0.6734152
equity / assets,0.0701206,0.33537141,0.36605456,0.33662203,0.3265848
Cash / asset,0.0291055,0.01903186,0.02374212,0.02225286,0.02022703
Current ratio,2.60103006,3.14421985,2.96810436,2.64658662,2.71100274
Inventory / sales,0.17773155,0.19226017,0.1604386,0.15066559,0.15093201
Net debt/EBITDA,9.28715895,5.96239478,2.8588385,3.17448754,3.0516104
A/P / Sales,0.05362886,0.04854183,0.04377158,0.04921741,0.04292993
A/R / Sales,0.18577477,0.16663246,0.15151905,0.1617744,0.15991866
ROE,-5.56024268,-0.05005014,0.11489515,0.09306418,0.06641447
ROA,-0.38988754,-0.01678539,0.04205789,0.03132745,0.02168996
Sales/total assets,1.19876213,0.88030219,1.05098414,1.11580938,1.15716544
Net income margin,-0.32524179,-0.01906775,0.04001763,0.02807599,0.01874404
EBIT/Sale,0.01577537,0.03566955,0.09091113,0.07447374,0.08121807
EBITDA/Sale,0.05718635,0.08587694,0.13410124,0.1152939,0.12023249
EBITDA/ Assets,0.06855283,0.07559766,0.14093828,0.12864601,0.13912888
Total debt/ EBITDA,9.71172941,6.21414673,3.0272961,3.34746498,3.19699378
WC/ Asset,0.28772344,0.23038414,0.23425221,0.23164533,0.24073805
Price to book ratio,0.6929148,0.43621285,0.80404629,1.34051744,1.01626786
real GDP growth,0.04127478,0.04753238,0.04481405,0.04447221,0.03772504
Inflation,0.03376857,0.02188027,0.01552279,0.0233769,0.02931204
Unemployment,0.03991667,0.04216667,0.04508333,0.0495,0.05416667
10-year risk free,0.06029167,0.05636667,0.05264167,0.063525,0.06438334
YoY % in stock price,0.55530943,0.37293143,-0.03622957,0.13114754,0.25
market cap based on Jun's data,31755.3258,18872.1663,12425.5665,10972.9837,9593.2031
90-days stock vol,0.47298,0.34595,0.21414,0.22232,0.26188
Trading volume,25505.73825,15628.81845,10505.25438,7220.492063,4721.373313
Total asset,33381,29350,23422,16137,13238.9346
Diluted EPS,1.17,1.07,0.16,1.155,1.035
Liability / assets,0.6105569,0.65274276,0.66877295,0.68581521,0.69101641
equity / assets,0.3894431,0.34725724,0.33122705,0.31418479,0.30898362
Cash / asset,0.00862766,0.00378194,0.00725813,0.01586416,0.00868023
Current ratio,1.07338364,0.97150811,1.05825023,1.07308522,1.12126484
Inventory / sales,0.01490826,0.01644274,0,0.01234103,0.01213005
Net debt/EBITDA,3.56967771,3.2861678,4.71627907,2.65721649,2.81022042
A/P / Sales,0.05369964,0.07613564,0.10452326,0.14711415,0.11106751
A/R / Sales,0.07553849,0.06589891,0.08370739,0.13853563,0.12141793
ROE,0.06869231,0.06897567,0.01353442,0.11518738,0.12704548
ROA,0.02675175,0.0239523,0.00448296,0.03619012,0.03925497
Sales/total assets,1.20164165,1.06507666,0.86555375,0.82351119,0.69408887
Net income margin,0.02226266,0.0224888,0.0051793,0.04394612,0.05655612
EBIT/Sale,0.03323195,0.04408189,0.03403542,0.05192264,0.06725456
EBITDA/Sale,0.05492122,0.07053743,0.06363143,0.08759124,0.11423575
EBITDA/ Assets,0.06599563,0.07512777,0.05507642,0.07213237,0.07928976
Total debt/ EBITDA,3.70040853,3.33650794,4.84806202,2.87714777,2.91969521
WC/ Asset,0.01485875,-0.00592845,0.01097259,0.0167937,0.02227634
Price to book ratio,2.44271737,1.85166467,1.60164559,2.16429659,2.34517437
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,0.5289971,-0.7195122,-0.45333333,-0.609375,0.28
market cap based on Jun's data,337.5802,30.2838,106.4821,193.7344,462.096
90-days stock vol,0.76163,1.83107,0.7748,0.50447,0.39903
Trading volume,424.2835405,67.93609763,232.1122545,571.8843281,1208.786256
Total asset,1353.045,904.285,1020.72,1146.756,785.376
Diluted EPS,-9.1,-29.58,-26.31,-16.86,-8.16
Liability / assets,1.16079221,1.23605722,1.03257994,0.86783326,0.68135008
equity / assets,-0.16079214,-0.23605169,-0.03257994,0.13216674,0.31864992
Cash / asset,0.00233621,0.00180585,0.00326044,0.00304947,0.00463854
Current ratio,0.51758074,0.58280277,0.59973672,0.78056595,0.68475962
Inventory / sales,0.0141799,0.02494712,0.03183391,0.030899,0.07257777
Net debt/EBITDA,6.3362233,7.08480298,7.59660713,8.64546649,9.61232145
A/P / Sales,0.04676671,0.06209097,0.05666249,0.05249419,0.13815053
A/R / Sales,0.09530183,0.07434816,0.07596745,0.07648248,0.08781166
ROE,1.13556323,0.96529997,5.46907232,-0.75653029,-0.14625589
ROA,-0.18258964,-0.22786069,-0.17818207,-0.09998814,-0.04660443
Sales/total assets,0.47435525,0.45741663,0.38878537,0.28896295,0.20703205
Net income margin,-0.38492172,-0.49814692,-0.45830446,-0.34602408,-0.22510732
EBIT/Sale,-0.15419959,-0.19275206,-0.25706769,-0.25973987,-0.08006864
EBITDA/Sale,0.32640568,0.34229937,0.32842373,0.31928358,0.29020037
EBITDA/ Assets,0.15483225,0.15657343,0.12768634,0.09226113,0.06008078
Total debt/ EBITDA,6.35131196,7.09633653,7.62214191,8.67851911,9.68952655
WC/ Asset,-0.05876227,-0.04014442,-0.03336272,-0.01069103,-0.01973704
Price to book ratio,-1.55167196,-0.14187241,-3.20198767,1.27824337,1.84646368
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,0.61538462,-0.59375,-0.57333333,-0.46808511,0.25892857
market cap based on Jun's data,39.1112,23.4252,56.922,131.9953,240.2992
90-days stock vol,0.84048,0.98898,1.24919,0.76431,0.50789
Trading volume,29.0054625,18.4130375,50.2742,183.5123438,321.1900688
Total asset,15.674,6.621,11.356,16.013,19.109
Diluted EPS,0.14,-0.21,-0.12,-0.24,-0.12
Liability / assets,0.45667985,0.93112823,0.60496654,0.44313995,0.24616673
equity / assets,0.54332015,0.06902281,0.3949454,0.55686005,0.75383327
Cash / asset,0.14731402,0.07385591,0.18527651,0.04077937,0.06039039
Current ratio,1.50452745,1.36758748,1.47350649,1.39916585,2.07829047
Inventory / sales,0.18882278,2.90330789,0.05187235,0.03170868,0.03365212
Net debt/EBITDA,-0.57393132,-0.96588058,-3.87234043,-2.1695692,-0.61800819
A/P / Sales,0.13001073,1.51908397,0.03962553,0.11370533,0.09203998
A/R / Sales,0.60567639,0.14503817,0.13277202,0.25397907,0.25095276
ROE,0.60627055,-12.10065646,-0.7212932,-0.75126164,-0.23602916
ROA,0.329399,-0.83522127,-0.28487143,-0.41834759,-0.17792663
Sales/total assets,0.65414062,0.05935659,1.49559704,1.0083682,0.72777225
Net income margin,0.50355993,-14.07124682,-0.19047339,-0.41487583,-0.2444812
EBIT/Sale,-0.22130108,-12.61832061,-0.12853274,-0.14429925,-0.17020206
EBITDA/Sale,-0.13917878,-10.14249364,-0.04427697,-0.06756673,-0.10541454
EBITDA/ Assets,-0.09104249,-0.60202386,-0.0662205,-0.06813214,-0.07671778
Total debt/ EBITDA,-2.19201121,-1.08855996,-6.67021277,-2.76810266,-1.40518417
WC/ Asset,0.22751053,0.15073252,0.16053188,0.10160495,0.14919671
Price to book ratio,4.59267262,51.25864333,12.6916388,14.80265784,16.6816522
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,0.02564103,-0.71111111,0.04651163,0.53571429,0.05
market cap based on Jun's data,140.145,89.9925,352.89,150.8171,92.7885
90-days stock vol,0.58078,1.45434,0.26854,0.26682,0.43345
Trading volume,174.3805,247.55835,353.72025,88.0941,43.9173
Total asset,1423.9771,1497.921,627.651,439.786,324.202
Diluted EPS,-2.23,-0.26,0.58,0.88,0.45
Liability / assets,0.71632542,0.68370295,0.59676636,0.78542973,0.76993973
equity / assets,0.28367451,0.31629705,0.40323364,0.21457027,0.23006027
Cash / asset,0.01028387,0.01280775,0.02428579,0.04427835,0.03516635
Current ratio,0.50322397,0.54812526,1.03145769,0.72775351,0.80250536
Inventory / sales,0.01551264,0.02343793,0.01723071,0.01240643,0.01121857
Net debt/EBITDA,6.51801036,8.48656656,5.94834613,6.78598177,8.16620819
A/P / Sales,0.06146146,0.14486582,0.0289791,0.02826057,0.03418737
A/R / Sales,0.04549475,0.06451695,0.04234876,0.03435286,0.03973692
ROE,-0.15025028,-0.0110197,0.03484531,0.08689662,0.0524093
ROA,-0.04262217,-0.0034855,0.0140508,0.01864543,0.0120573
Sales/total assets,0.41603197,0.26384168,0.41470658,0.51244696,0.51634783
Net income margin,-0.10244928,-0.01321056,0.03388131,0.0363851,0.02335111
EBIT/Sale,0.12710577,0.16980927,0.114226,0.10552565,0.07594339
EBITDA/Sale,0.22723237,0.24853624,0.202677,0.18839937,0.14983781
EBITDA/ Assets,0.09453593,0.06557422,0.08405149,0.09654468,0.07736843
Total debt/ EBITDA,6.62679305,8.68188343,6.23728557,7.24461245,8.62073915
WC/ Asset,-0.04544806,-0.04344622,0.00203616,-0.03230662,-0.01930586
Price to book ratio,0.34693994,0.18994255,1.39432613,1.59823134,1.24404714
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,-0.29166667,-0.41935484,-0.16216216,0.45098039,0.0625
market cap based on Jun's data,48.2141,67.0095,114.8628,130.277,82.5116
90-days stock vol,0.67984,0.59744,0.38559,0.42181,0.6935
Trading volume,62.27195625,85.1472,153.3508,204.477725,99.596625
Total asset,269.886,266.101,134.139,84.829,60.002
Diluted EPS,-2.12,-0.42,0.86,0.61,0.38
Liability / assets,0.85621707,0.74775367,0.49561276,0.44226621,0.4528849
equity / assets,0.14378293,0.25224633,0.50438724,0.55773379,0.5471151
Cash / asset,0.03219878,0.06929324,0.07644309,0.1357201,0.09216359
Current ratio,0.46615444,1.33510783,1.21296107,2.27414708,3.1655345
Inventory / sales,0,0,0,0.02832042,0
Net debt/EBITDA,64.20263517,-15.82022607,-43.08403361,1.15997809,4.76409592
A/P / Sales,0.4774331,0.14347547,3.21396968,0.23236989,0.08407449
A/R / Sales,0.19091998,0.05161911,3.42677885,0.17052691,0.12750139
ROE,-0.80249968,-0.08923916,0.17801295,0.16534917,0.13403192
ROA,-0.11538576,-0.02251025,0.08978746,0.09222082,0.07333089
Sales/total assets,0.08349081,0.02344223,0.10278144,0.5461222,0.23985867
Net income margin,-1.38201749,-0.96024367,0.87357656,0.16886481,0.3057254
EBIT/Sale,0.02023699,-1.36165438,0.00449699,0.15412179,0.20282101
EBITDA/Sale,0.09767896,-1.33311959,0.01726264,0.15759708,0.21442468
EBITDA/ Assets,0.0081553,-0.03125129,0.00177428,0.08606726,0.05143162
Total debt/ EBITDA,68.15084053,-18.03751804,0,2.73688536,6.55605962
WC/ Asset,-0.15858548,0.04163457,0.08535176,0.19811621,0.10094664
Price to book ratio,1.24247133,0.99830907,1.69769724,2.75357203,2.51345193
real GDP growth,0.04127478,0.04753238,0.04481405,0.04447221,0.03772504
Inflation,0.03376857,0.02188027,0.01552279,0.0233769,0.02931204
Unemployment,0.03991667,0.04216667,0.04508333,0.0495,0.05416667
10-year risk free,0.06029167,0.05636667,0.05264167,0.063525,0.06438334
YoY % in stock price,-0.81008902,3.01190476,-0.25,-0.42857143,-0.6
market cap based on Jun's data,198.2548,1021.447,168.6773,176.057,307.377
90-days stock vol,1.27212,1.06914,1.19956,0.74757,0.5507
Trading volume,752.502,1513.269013,116.779425,66.8486,284.867625
Total asset,1571.714,809.948,489.794,311.447,350.173
Diluted EPS,-3.81,-8.33,-4.94,-4.74,-5.38
Liability / assets,0.57931468,0.6820549,1.04982707,0.8518817,0.54679544
equity / assets,0.42068532,0.3179451,-0.0498434,0.1481183,0.45320456
Cash / asset,0.14469744,0.14932564,0.00466523,0.00676199,0.00623121
Current ratio,2.68995347,2.6981934,2.08696716,1.089277,1.14699405
Inventory / sales,0.17015353,0.31421638,0.21317114,0.91195097,1.37158312
Net debt/EBITDA,-3.76077496,-4.89173165,-13.20160563,-5.03798441,-1.85605745
A/P / Sales,1.05906801,0.74540743,0.38748696,0.81107794,1.53714389
A/R / Sales,0.14442519,0.18220948,0.1757031,0.18410458,0.23811756
ROE,-0.20965612,-1.28507411,6.16745177,-2.58409746,-0.84838059
ROA,-0.08819925,-0.40858302,-0.30740679,-0.38275212,-0.38448995
Sales/total assets,0.06353001,0.11244055,0.17807691,0.14196316,0.07918943
Net income margin,-1.38830858,-3.63376926,-1.72625858,-2.69613697,-4.85531915
EBIT/Sale,-1.80681215,-1.39421989,-1.01130462,-1.93140182,-4.32884962
EBITDA/Sale,-1.29799401,-0.78153309,-0.40701207,-0.97175103,-2.76711143
EBITDA/ Assets,-0.08246157,-0.08787601,-0.07247945,-0.13795285,-0.21912597
Total debt/ EBITDA,-5.51550083,-6.59100808,-13.26597183,-5.08700105,-1.88449408
WC/ Asset,0.16245322,0.17118259,0.09980114,0.01703661,0.02420803
Price to book ratio,0.29984226,3.96649179,-6.9093229,3.81645748,1.9368431
real GDP growth,0.04127478,0.04753238,0.04481405,0.04447221,0.03772504
Inflation,0.03376857,0.02188027,0.01552279,0.0233769,0.02931204
Unemployment,0.03991667,0.04216667,0.04508333,0.0495,0.05416667
10-year risk free,0.06029167,0.05636667,0.05264167,0.063525,0.06438334
YoY % in stock price,-0.32608696,-0.32352941,0.36,-0.09090909,-0.01785714
market cap based on Jun's data,33.3211,49.4442,73.0915,53.7437,59.1181
90-days stock vol,0.57501,0.47861,0.31153,0.33317,0.46328
Trading volume,5.656725,7.181175,19.1607,9.6375,4.2563125
Total asset,98.438,88.717,88.832,82.127,74.53
Diluted EPS,0.46,0.63,-0.97,0.5,0.39
Liability / assets,0.42687783,0.46407115,0.47181196,0.32685962,0.31540319
equity / assets,0.57312217,0.53592885,0.52818804,0.67314038,0.68459681
Cash / asset,0.0001727,0.02290429,0.14723298,0.10668842,0.11957601
Current ratio,1.99478445,2.20297375,2.52346461,2.464392,2.19301501
Inventory / sales,0.14506143,0.14591962,0.13883618,0.14496748,0.14147449
Net debt/EBITDA,0.30230326,0.07393401,-42.26136364,-0.80316578,-1.3254585
A/P / Sales,0.06520354,0.07273224,0.07616588,0.08203817,0.08930973
A/R / Sales,0.13079491,0.14400801,0.15537755,0.15476604,0.13943742
ROE,0.0694117,0.11370042,-0.17826087,0.07736556,0.06532348
ROA,0.03978139,0.06093533,-0.09415526,0.05207788,0.04472025
Sales/total assets,1.46685223,1.73356854,1.57819254,1.47130663,1.37660003
Net income margin,0.02712024,0.03515023,-0.05966019,0.03539567,0.03248601
EBIT/Sale,0.04054185,0.05409728,-0.01349558,0.0524935,0.04322696
EBITDA/Sale,0.05773093,0.06877247,0.0018831,0.06849066,0.06271077
EBITDA/ Assets,0.08468274,0.1192218,0.0029719,0.10077076,0.08632765
Total debt/ EBITDA,0.30434261,0.26604897,7.28030303,0.25555824,0.05968293
WC/ Asset,0.21895,0.3109776,0.39540931,0.34752274,0.29333154
Price to book ratio,0.59062162,1.03992344,1.55778986,0.972156,1.1586559
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,-0.22727273,-0.48113208,0.70967742,-0.13888889,-0.1627907
market cap based on Jun's data,30.7488,39.7925,76.5717,44.7872,52.011
90-days stock vol,0.79759,1.04671,0.40293,0.64237,0.48926
Trading volume,17.06215625,13.6021875,39.273,21.9356,16.7796
Total asset,233.664,236.875,233.279,260.418,262.514
Diluted EPS,0.61,0.28,0.21,-1.98,-0.73
